"ID","Learning level","Spelling","Synthesis","Phonemic Synthesis","IllustrationFile","AudioFile","IsSimpleWord","IsSightWord","IsPhonicsWord"
"contain","93","contain",,"k/..r/n/t/ei/n","","WordAudio_contain.ogg","N","N","N"
"yogurt","93","yogurt",,"j/o/g/..r/t","WordImage_yogurt.png","WordAudio_yogurt.ogg","N","N","N"
"evening","93","evening",,"i:/v/n/i/ng","WordImage_evening.png","WordAudio_evening.ogg","N","N","N"
"eraser","93","eraser",,"i/r/ei/z/..r","WordImage_eraser.png","WordAudio_eraser.ogg","N","N","N"
"instruments","93","instruments",,"i/n/s/t/r/u/m/..r/n/t/s","WordImage_instruments.png","WordAudio_instruments.ogg","N","N","N"
"inside","93","inside",,"i/n/s/ai/d ","","WordAudio_inside.ogg","N","Y","N"
"impala","93","impala",,"i/m/p/a:r/l/..r","WordImage_impala.png","WordAudio_impala.ogg","N","N","N"
"exact","93","exact","e/x/a/ct","i/ks/ae/kt","","WordAudio_exact.ogg","N","N","Y"
"hallway","93","hallway",,"h/o:/l/w/ei","WordImage_hallway.png","WordAudio_hallway.ogg","N","N","N"
"hazelnut","93","hazelnut",,"h/ei/z/l/n/^/t","WordImage_hazelnut.png","WordAudio_hazelnut.ogg","N","N","N"
"hate","93","hate",,"h/ei/t ","","WordAudio_hate.ogg","N","Y","N"
"kangaroo","93","kangaroo",,"k/ae/ng/..r/r/u:","WordImage_kangaroo.png","WordAudio_kangaroo.ogg","N","N","N"
"head","93","head",,"h/e/d","WordImage_head.png","WordAudio_head.ogg","N","N","N"
"carrot","93","carrot","c/a/rr/o/t","k/ae/r/..r/t","WordImage_carrot.png","WordAudio_carrot.ogg","N","Y","Y"
"curtain","93","curtain",,"k/e:r/t/n","WordImage_curtain.png","WordAudio_curtain.ogg","N","N","N"
"question","93","question",,"kw/e/s/tsh/..r/n","WordImage_question.png","WordAudio_question.ogg","N","N","N"
"quiet","93","quiet",,"kw/ai/..r/t","WordImage_quiet.png","WordAudio_quiet.ogg","N","Y","N"
"cucumber","93","cucumber",,,"WordImage_cucumber.png","WordAudio_cucumber.ogg","N","N","N"
"crayon","93","crayon",,"k/r/ei/..r/n","WordImage_crayon.png","WordAudio_crayon.ogg","N","N","N"
"crowded","93","crowded",,"k/r/au/d/i/d","WordImage_crowded.png","WordAudio_crowded.ogg","N","N","N"
"crime","93","crime",,"k/r/ai/m ","","WordAudio_crime.ogg","N","N","N"
"coral","93","coral",,"k/o:/..r/l","WordImage_coral.png","WordAudio_coral.ogg","N","N","N"
"cornet","93","cornet",,"k/o:/n/i/t","","WordAudio_cornet.ogg","N","N","N"
"cotton","93","cotton",,"k/o/t/n","WordImage_cotton.png","WordAudio_cotton.ogg","N","N","N"
"cauliflower","93","cauliflower",,"k/o/l/i/f/l/au/..r","WordImage_cauliflower.png","WordAudio_cauliflower.ogg","N","N","N"
"close","93","close",,"k/l/..u/s ","","WordAudio_close.ogg","N","Y","N"
"kitchen","93","kitchen",,"k/i/tsh/i/n","WordImage_kitchen.png","WordAudio_kitchen.ogg","N","N","N"
"kitten","93","kitten",,"k/i/t/n","WordImage_kitten.png","WordAudio_kitten.ogg","N","Y","N"
"cave","93","cave",,"k/ei/v","WordImage_cave.png","WordAudio_cave.ogg","N","Y","N"
"cape","93","cape",,"k/ei/p ","","WordAudio_cape.ogg","N","Y","N"
"cane","93","cane",,"k/ei/n ","","WordAudio_cane.ogg","N","Y","N"
"came","93","came",,"k/ei/m ","","WordAudio_came.ogg","N","Y","N"
"cake","93","cake",,"k/ei/k","WordImage_cake.png","WordAudio_cake.ogg","N","Y","N"
"cage","93","cage",,"k/ei/dz ","","WordAudio_cage.ogg","N","Y","N"
"kite","93","kite",,"k/ai/t ","","WordAudio_kite.ogg","N","Y","N"
"splat","90","splat","spl/a/t","spl/ae/t ","","WordAudio_splat.ogg","Y","N","Y"
"hike","93","hike",,"h/ai/k ","","WordAudio_hike.ogg","N","Y","N"
"hire","93","hire",,"h/ai/..r ","","WordAudio_hire.ogg","N","Y","N"
"froze","93","froze",,"f/r/..u/z ","","WordAudio_froze.ogg","N","Y","N"
"falcon","93","falcon",,"f/o:/l/k/..r/n","WordImage_falcon.png","WordAudio_falcon.ogg","N","N","N"
"forest","93","forest",,"f/o/r/i/s/t","WordImage_forest.png","WordAudio_forest.ogg","N","N","N"
"flute","93","flute",,"f/l/u:/t","WordImage_flute.png","WordAudio_flute.ogg","N","Y","N"
"flame","93","flame",,"f/l/ei/m","WordImage_flame.png","WordAudio_flame.ogg","N","Y","N"
"flake","93","flake",,"f/l/ei/k ","","WordAudio_flake.ogg","N","Y","N"
"fate","93","fate",,"f/ei/t ","","WordAudio_fate.ogg","N","Y","N"
"face","93","face",,"f/ei/s","WordImage_face.png","WordAudio_face.ogg","N","Y","N"
"feather","93","feather","f/ea/th/er","f/e/dh/..r","WordImage_feather.png","WordAudio_feather.ogg","N","N","Y"
"fine","93","fine",,"f/ai/n ","","WordAudio_fine.ogg","N","Y","N"
"fire","93","fire",,"f/ai/..r","WordImage_fire.png","WordAudio_fire.ogg","N","Y","N"
"ate","93","ate",,"ei/t ","","WordAudio_ate.ogg","N","Y","N"
"urgent","93","urgent",,"e:r/dz/..r/n/t","","WordAudio_urgent.ogg","N","N","N"
"envelope","93","envelope",,"e/n/v/..r/l/..u/p","WordImage_envelope.png","WordAudio_envelope.ogg","N","N","N"
"elephant","93","elephant",,"e/l/i/f/..r/n/t","WordImage_elephant.png","WordAudio_elephant.ogg","N","Y","N"
"egg","93","egg","e/gg","e/g","WordImage_egg.png","WordAudio_egg.ogg","N","N","Y"
"juice","93","juice",,"dz/u:/s","WordImage_juice.png","WordAudio_juice.ogg","N","N","N"
"jewellery","93","jewellery",,"dz/u:/..r/l/r/i:","WordImage_jewellery.png","WordAudio_jewellery.ogg","N","N","N"
"jeans","93","jeans","j/ea/n/s","dz/i:/n/z","WordImage_jeans.png","WordAudio_jeans.ogg","N","N","Y"
"frozen","93","frozen",,"f/r/..u/z/n ","","WordAudio_frozen.ogg","N","Y","N"
"hyena","93","hyena",,"h/ai/i:/n/..r","WordImage_hyena.png","WordAudio_hyena.ogg","N","N","N"
"friend","93","friend",,"f/r/e/n/d","WordImage_friend.png","WordAudio_friend.ogg","N","N","N"
"garden","93","garden",,"g/a:r/d/n","WordImage_garden.png","WordAudio_garden.ogg","N","N","N"
"heart","93","heart",,"h/a:r/t","WordImage_heart.png","WordAudio_heart.ogg","N","N","N"
"hugging","93","hugging",,"h/^/g/i/ng","WordImage_hugging.png","WordAudio_hugging.ogg","N","N","N"
"hose","93","hose",,"h/..u/z ","","WordAudio_hose.ogg","N","Y","N"
"hotel","93","hotel",,"h/..u/t/e/l","WordImage_hotel.png","WordAudio_hotel.ogg","N","N","N"
"hope","93","hope",,"h/..u/p ","","WordAudio_hope.ogg","N","Y","N"
"home","93","home",,"h/..u/m ","","WordAudio_home.ogg","N","Y","N"
"hole","93","hole",,"h/..u/l","WordImage_hole.png","WordAudio_hole.ogg","N","N","N"
"horizon","93","horizon",,"h/..r/r/ai/z/n","WordImage_horizon.png","WordAudio_horizon.ogg","N","N","N"
"grave","93","grave",,"gr/ei/v ","","WordAudio_grave.ogg","N","Y","N"
"grape","93","grape",,"gr/ei/p ","","WordAudio_grape.ogg","N","Y","N"
"grapes","93","grapes",,"g/r/ei/p/s","WordImage_grapes.png","WordAudio_grapes.ogg","N","Y","N"
"grey","93","grey",,"g/r/ei","WordImage_grey.png","WordAudio_grey.ogg","N","N","N"
"grandmother","93","grandmother",,"g/r/ae/n/m/^/dh/..r","WordImage_grandmother.png","WordAudio_grandmother.ogg","N","N","N"
"grandfather","93","grandfather",,"g/r/ae/n/d/f/a:r/dh/..r","WordImage_grandfather.png","WordAudio_grandfather.ogg","N","N","N"
"glasses","93","glasses",,"g/l/a:r/s/i/z","WordImage_glasses.png","WordAudio_glasses.ogg","N","N","N"
"guitar","93","guitar",,"g/i/t/a:r","WordImage_guitar.png","WordAudio_guitar.ogg","N","N","N"
"gave","93","gave",,"g/ei/v ","","WordAudio_gave.ogg","N","Y","N"
"gate","93","gate",,"g/ei/t","WordImage_gate.png","WordAudio_gate.ogg","N","Y","N"
